Mineral,Stage,Country,Year,Value_kt
Lithium,Chemicals,Australia,2030,24.388488
Lithium,Chemicals,Australia,2035,25.577776
Lithium,Chemicals,Australia,2040,25.577776
Lithium,Mining,Zimbabwe,2024,23.09980487
Lithium,Mining,Zimbabwe,2030,32.836989168
Lithium,Mining,Zimbabwe,2035,25.55627932800001
Lithium,Mining,Zimbabwe,2040,25.55627932800001
Lithium,Mining,Rest of world,2024,23.069690146400006
Lithium,Mining,Rest of world,2030,73.93941477758233
Lithium,Mining,Rest of world,2035,67.62506892958231
Lithium,Mining,Rest of world,2040,55.03780194250078
Lithium,Chemicals,Rest of world,2024,5.149696000000034
Lithium,Chemicals,Rest of world,2030,41.69815560000012
Lithium,Chemicals,Rest of world,2035,43.159987200000046
Lithium,Chemicals,Rest of world,2040,43.159987200000046
Nickel,Mining,Indonesia,2024,2463
Nickel,Mining,Indonesia,2030,3042.0655172413794
Nickel,Mining,Indonesia,2035,3225.36551724138
Nickel,Mining,Indonesia,2040,3342.9655172413795
Nickel,Refining,Indonesia,2024,1493.2
Nickel,Refining,Indonesia,2030,2037.05
Nickel,Refining,Indonesia,2035,2045.3
Nickel,Refining,Indonesia,2040,2045.3
Nickel,Mining,Philippines,2024,345
Nickel,Mining,Philippines,2030,268
Nickel,Mining,Philippines,2035,268
Nickel,Mining,Philippines,2040,268
Nickel,Refining,China,2024,1091.0770000000002
Nickel,Refining,China,2030,1480.488
Nickel,Refining,China,2035,1480.488
Nickel,Refining,China,2040,1480.488
Nickel,Mining,New Caledonia,2024,116
Nickel,Mining,New Caledonia,2030,212
Nickel,Mining,New Caledonia,2035,212
Nickel,Mining,New Caledonia,2040,212
Nickel,Refining,Finland,2024,62
Nickel,Refining,Finland,2030,86
Nickel,Refining,Finland,2035,86
Nickel,Refining,Finland,2040,86
Nickel,Mining,Russia,2024,190
Nickel,Mining,Russia,2030,220
Nickel,Mining,Russia,2035,220
Nickel,Mining,Russia,2040,220
Nickel,Refining,Australia,2024,80
Nickel,Refining,Australia,2030,37
Nickel,Refining,Australia,2035,37
Nickel,Refining,Australia,2040,37
